Voter File VANID,Sex,YEARXXScoreSName,DemPartySup2,NatTO,2020:CivSpan,2020:VolProp,TDPPartisan,BRResearchBetoSuppor,BRResearchBetoTurnou,DNCDemPartySupportV1,TO2022,Age,RaceName,PrecinctName
21562,F,18.9,77.48,28.98,0.06,77.0,82.21,86.91,66.51,58.5,66.73,25.0,,603.0
21563,F,34.36,47.78,20.06,0.22,,61.06,48.22,11.56,60.42,7.39,26.0,,644.0
21564,F,49.72,95.3,93.66,0.03,60.0,97.49,87.91,77.13,90.56,81.37,48.0,,893.0
21565,F,52.94,86.9,99.21,0.73,62.0,96.43,94.03,76.92,90.46,86.22,32.0,,644.0
21566,F,35.94,94.46,92.79,0.12,42.0,98.13,94.84,77.94,91.14,82.01,53.0,,991.0
21567,M,13.71,82.16,23.51,19.53,85.0,63.45,54.28,37.48,82.35,57.81,30.0,,1055.0
21568,F,10.29,87.8,57.46,0.85,56.0,84.08,89.01,68.31,89.13,55.19,70.0,,991.0
21569,M,15.5,82.17,33.92,0.19,45.0,76.1,67.26,12.69,66.64,11.57,25.0,,603.0
21570,F,22.85,90.34,77.63,4.82,,94.37,55.4,59.08,90.89,70.02,26.0,,509.0
21571,F,28.43,84.12,28.99,0.19,92.0,79.0,37.28,9.8,71.23,33.45,32.0,,149.0
21572,F,25.77,58.29,45.61,0.07,,62.21,54.52,36.36,63.08,50.64,25.0,Uncoded,709.0
21573,M,63.5,75.22,84.51,0.03,,87.47,59.86,68.6,81.15,77.38,38.0,Caucasian,143.0
21574,F,49.72,51.53,33.56,0.11,,53.66,50.13,10.9,58.44,12.14,39.0,Caucasian,603.0
21575,M,22.85,80.98,65.53,0.05,68.0,90.26,79.22,77.85,81.7,69.24,60.0,Caucasian,603.0
21576,F,52.94,84.06,44.24,0.1,,76.77,86.52,59.9,73.81,57.0,40.0,Caucasian,709.0
21577,F,35.94,93.59,7.71,0.03,63.0,95.63,85.82,19.7,91.06,2.95,30.0,Caucasian,709.0
21578,F,61.89,49.87,82.02,0.02,,43.04,94.22,46.7,53.6,68.71,32.0,Caucasian,709.0
21579,F,28.43,83.27,30.76,0.01,,51.97,49.33,22.3,54.08,14.89,27.0,Caucasian,923.0
21580,M,46.19,69.86,65.47,0.01,,72.98,80.35,71.6,54.73,72.07,29.0,,772.0
21581,M,51.94,63.04,97.64,0.12,84.0,90.78,85.88,75.65,71.89,88.47,29.0,Caucasian,603.0
21582,F,25.77,60.03,23.64,3.69,,60.03,31.89,11.56,56.92,7.74,28.0,Hispanic,644.0
21583,M,25.77,70.74,36.48,0.02,82.0,71.33,71.04,36.99,55.45,54.39,27.0,Caucasian,1055.0
21584,F,52.94,82.79,34.32,4.38,,41.75,52.45,40.3,73.15,54.41,34.0,Caucasian,149.0
21585,M,25.77,53.34,18.23,0.68,63.0,52.28,40.59,10.71,52.78,6.97,63.0,Caucasian,603.0
21586,F,39.65,61.18,27.73,0.68,70.0,62.29,51.45,12.15,59.5,8.39,37.0,Caucasian,603.0
21587,M,28.43,93.37,18.95,0.88,58.0,51.68,49.97,8.84,89.18,11.56,27.0,Hispanic,709.0
21588,F,20.44,72.52,25.74,0.0,69.0,65.6,40.33,11.56,53.86,10.66,27.0,Caucasian,149.0
21589,M,34.36,74.1,41.39,0.09,79.0,66.23,84.9,13.09,65.74,28.87,53.0,,1055.0
21590,M,61.89,92.03,88.24,0.01,,95.57,92.27,89.1,78.78,76.91,70.0,Caucasian,906.0
21591,F,31.09,84.87,20.91,0.01,76.0,84.1,79.39,37.62,83.99,54.31,28.0,Caucasian,1055.0
21592,F,65.48,65.62,91.41,0.11,,68.72,78.4,81.2,65.46,87.17,57.0,Caucasian,362.0
21593,F,61.89,73.19,84.3,0.14,46.0,72.47,67.34,69.02,67.46,70.72,46.0,Asian,906.0
21594,F,39.65,54.76,30.96,0.34,,46.76,39.19,10.3,54.65,3.22,30.0,Caucasian,906.0
21595,M,62.65,81.85,30.69,0.1,,56.95,76.97,70.5,80.0,46.9,76.0,Caucasian,923.0
21596,F,33.7,67.02,79.1,18.57,82.0,67.45,64.48,70.3,68.0,77.84,48.0,Hispanic,1111.0
21597,M,25.77,79.84,87.13,1.96,62.0,80.49,69.18,65.11,84.1,85.53,29.0,Hispanic,862.0
21598,F,25.58,49.99,64.01,0.11,28.0,70.82,50.04,47.43,53.19,63.15,45.0,Caucasian,1055.0
21599,F,65.48,66.4,91.0,0.62,,71.13,46.37,62.48,59.81,73.61,40.0,Caucasian,906.0
21600,M,62.65,77.61,99.54,0.1,88.0,74.52,86.32,92.8,86.23,88.3,64.0,Caucasian,923.0
21601,M,34.36,67.78,67.08,0.04,71.0,53.37,93.76,85.8,59.86,85.23,71.0,Caucasian,862.0
21602,M,35.94,44.18,24.86,3.87,,47.53,14.02,44.71,56.88,48.32,37.0,,862.0
21603,F,67.24,74.28,79.32,0.07,,78.7,74.66,56.9,60.42,62.51,47.0,,906.0
21604,F,28.43,41.1,33.26,0.33,,66.53,43.95,10.8,55.05,17.21,25.0,,362.0
21605,F,49.92,79.37,83.1,0.04,67.0,84.81,88.93,82.1,66.6,74.32,38.0,,331.0
21606,F,49.72,61.07,81.84,0.13,,56.25,43.86,74.7,56.76,77.77,51.0,,923.0
21607,M,62.65,61.55,98.94,0.02,,80.33,96.13,94.6,77.73,87.24,57.0,,906.0
21608,M,52.94,96.64,99.21,0.16,39.0,99.19,98.79,86.58,97.46,93.5,73.0,,1133.0
21609,F,51.94,67.91,58.47,6.0,77.0,74.11,67.97,74.72,66.53,71.16,65.0,,509.0
21610,F,31.09,82.79,63.91,7.32,81.0,86.14,91.58,41.73,68.8,59.73,27.0,,149.0
21611,F,35.94,40.94,78.04,0.08,,63.32,59.9,63.8,50.28,78.75,28.0,,522.0
21612,F,49.72,85.95,85.84,0.03,68.0,82.26,86.44,81.2,67.55,89.22,36.0,,906.0
21613,F,33.7,95.6,90.7,0.07,63.0,98.83,97.42,87.4,96.2,79.55,25.0,,119.0
21614,F,18.9,90.21,67.72,0.09,70.0,93.53,51.98,35.6,93.03,30.07,25.0,,603.0
21615,M,43.46,91.08,61.75,0.06,12.0,96.78,56.81,64.34,84.04,61.33,89.0,,149.0
21616,M,31.09,77.37,14.58,0.02,28.0,71.43,73.69,14.1,67.66,13.98,25.0,,893.0
21617,F,25.77,77.58,15.49,0.14,,71.54,25.42,17.68,72.39,16.35,55.0,,509.0
21618,M,55.22,49.68,89.81,0.16,,80.91,87.13,75.7,67.79,74.28,33.0,,509.0
21619,F,61.89,84.97,96.88,0.01,,84.01,95.33,90.3,71.99,92.39,31.0,,522.0
21620,F,61.89,96.74,98.25,0.35,39.0,99.24,96.99,78.37,96.91,84.5,41.0,,603.0
21621,M,61.89,80.33,84.25,0.16,,80.75,57.32,72.59,55.1,75.91,68.0,,149.0
21622,M,28.43,40.07,56.87,0.06,63.0,46.41,25.74,26.5,53.15,44.15,24.0,,119.0
21623,F,40.43,46.65,40.6,0.1,,60.36,42.07,32.47,57.22,62.5,31.0,,143.0
21624,F,67.24,75.65,89.51,0.02,84.0,91.07,74.24,69.75,77.16,78.63,36.0,,511.0
21625,M,28.43,83.75,67.54,0.06,64.0,85.81,92.69,73.9,72.75,69.84,24.0,,1054.0
21626,M,43.13,87.27,90.04,0.02,11.0,96.2,88.31,74.97,85.57,76.46,42.0,,143.0
21627,F,53.31,69.0,58.67,2.34,53.0,52.24,39.95,8.75,63.52,2.34,40.0,,149.0
21628,F,43.13,91.97,84.59,55.95,,96.5,85.44,77.52,92.16,75.42,73.0,,1078.0
21629,F,28.43,55.6,23.83,2.04,,59.2,46.6,13.9,66.99,8.94,26.0,,803.0
21630,F,33.7,89.09,95.67,0.01,82.0,95.86,95.61,88.0,85.83,88.11,26.0,,803.0
21631,M,29.12,74.37,35.82,0.07,53.0,62.9,55.02,11.56,65.14,20.93,26.0,,644.0
21632,F,29.12,76.75,86.94,54.47,63.0,81.53,47.65,72.59,84.54,70.67,76.0,,1078.0
21633,F,20.67,66.18,77.93,1.07,75.0,69.73,65.32,59.08,58.16,71.32,26.0,,772.0
21634,F,55.22,94.34,11.2,0.19,,98.31,79.1,61.56,95.0,63.73,65.0,,1102.0
21635,F,61.89,66.49,87.71,0.11,,75.38,80.88,78.3,58.46,79.97,39.0,,1102.0
21636,F,34.36,53.63,51.0,0.52,81.0,75.08,60.31,69.5,67.33,64.58,26.0,,772.0
21637,F,49.72,91.08,76.25,6.43,,93.71,83.66,76.16,81.62,73.67,72.0,Hispanic,862.0
21638,F,35.94,63.51,79.0,12.18,,67.87,69.34,61.71,65.08,69.43,29.0,Hispanic,1102.0
21639,M,43.13,85.7,41.45,0.06,64.0,50.66,67.39,44.1,62.71,60.25,30.0,Caucasian,1102.0
21640,F,58.47,71.7,87.36,1.04,,49.29,73.51,73.5,80.43,75.79,41.0,Caucasian,624.0
21641,M,22.45,59.71,17.11,3.29,52.0,51.94,53.69,8.84,58.46,9.91,28.0,Hispanic,901.0
21642,M,56.65,29.38,6.57,0.02,,26.13,20.95,17.4,57.4,6.63,45.0,Uncoded,862.0
21643,F,49.72,91.77,94.54,0.15,97.0,97.83,95.66,84.6,94.85,90.02,52.0,Caucasian,1102.0
21644,M,51.94,48.04,77.04,0.09,93.0,65.28,84.29,45.1,54.37,42.97,46.0,Caucasian,772.0
21645,F,33.7,89.61,96.53,8.82,94.0,96.66,95.77,77.18,93.05,81.46,34.0,Caucasian,1078.0
21646,M,35.94,62.56,30.89,0.02,,72.49,43.57,10.4,62.32,16.79,27.0,Caucasian,624.0
21647,F,41.04,66.65,47.23,0.23,55.0,55.25,67.06,62.9,51.28,67.88,31.0,,624.0
21648,M,52.94,82.57,99.05,0.02,,75.14,98.01,92.1,78.86,94.78,40.0,,511.0
21649,F,37.37,82.56,53.58,14.57,79.0,65.98,79.13,50.41,76.38,55.9,39.0,,624.0
21650,M,22.45,84.46,16.46,0.55,,58.23,85.0,16.91,83.36,0.76,39.0,,751.0
21651,F,37.41,76.85,11.86,0.04,88.0,81.16,46.65,39.19,75.28,47.33,42.0,,991.0
21652,F,33.7,84.39,49.77,0.1,45.0,87.98,77.12,46.7,85.59,57.57,31.0,,119.0
21653,F,20.67,89.36,78.24,2.64,67.0,85.51,84.44,64.0,81.81,71.43,27.0,Uncoded,119.0
21654,F,26.91,95.96,93.09,0.02,93.0,99.01,98.99,79.2,96.48,74.92,26.0,Uncoded,509.0
21655,M,65.48,90.68,98.4,0.03,,96.78,97.83,77.78,89.62,93.69,37.0,,511.0
21656,F,31.09,68.72,62.85,0.08,78.0,69.67,67.2,29.49,63.15,28.62,27.0,,511.0
21657,M,13.71,72.5,24.09,4.22,16.0,51.07,37.35,9.01,59.16,7.71,26.0,,991.0
21658,F,34.36,70.75,34.64,0.02,,36.34,38.4,10.7,59.34,15.7,45.0,,991.0
21659,M,25.77,70.59,88.92,7.07,,88.46,58.88,66.22,73.38,72.52,38.0,,1112.0
21660,F,52.94,79.4,70.2,0.67,34.0,70.79,94.57,66.72,65.99,65.19,31.0,,991.0
21661,F,55.22,62.94,70.97,0.24,,75.12,62.54,36.6,78.05,60.1,30.0,,119.0
21662,F,18.9,72.22,64.26,4.71,79.0,72.17,61.22,59.59,54.91,68.9,27.0,,991.0
21663,M,55.22,53.47,82.23,1.08,,68.56,24.96,38.93,65.07,51.43,48.0,,991.0
21664,F,43.46,84.18,29.14,0.2,,94.97,81.33,49.1,76.43,72.79,47.0,,624.0
21665,F,20.67,93.79,34.74,0.13,53.0,92.02,88.97,49.8,91.06,52.81,28.0,,119.0
21666,F,49.72,93.69,99.53,0.04,86.0,95.88,98.8,91.1,94.21,83.32,35.0,,624.0
21667,M,49.72,66.94,59.97,0.38,,45.19,61.57,41.73,50.17,59.26,47.0,,709.0
21668,F,52.94,73.55,31.56,0.15,85.0,57.98,53.21,14.7,71.35,17.46,42.0,,899.0
21669,F,55.22,60.77,32.62,1.0,,57.52,47.68,48.0,53.88,60.32,45.0,,149.0
21670,F,33.7,68.63,29.92,0.08,38.0,75.22,81.45,19.5,69.52,12.91,25.0,,709.0
21671,M,28.43,74.76,21.31,0.05,51.0,52.24,58.44,34.94,68.17,48.87,26.0,,709.0
21672,M,63.5,79.99,82.25,26.37,,87.57,52.32,66.64,79.14,72.12,50.0,,522.0
21673,F,28.43,83.49,79.94,0.06,,77.15,80.52,69.5,72.43,74.16,26.0,,522.0
21674,M,43.46,43.48,91.29,10.56,,87.76,78.43,75.82,65.31,74.81,48.0,,522.0
21675,F,25.77,87.99,50.71,0.02,50.0,92.64,78.33,63.09,79.21,69.11,26.0,,603.0
21676,M,39.65,62.57,26.56,0.05,36.0,51.2,37.82,34.0,58.25,51.73,38.0,,899.0
21677,M,25.77,92.94,82.27,0.03,,80.75,93.86,68.7,69.4,69.37,25.0,,709.0
21678,F,65.48,63.47,65.96,0.04,,62.07,35.81,40.71,62.85,52.99,50.0,,772.0
21679,F,70.26,92.73,95.72,0.02,94.0,95.58,98.55,90.3,90.58,93.47,32.0,,1056.0
21680,F,33.7,69.51,76.14,0.14,,55.15,21.27,26.5,66.79,37.98,25.0,,772.0
21681,M,34.36,68.25,2.97,0.02,,21.84,26.05,17.9,71.71,0.89,50.0,,772.0
21682,M,22.85,90.88,24.07,0.01,40.0,86.56,69.17,14.1,91.22,14.91,24.0,,603.0
21683,F,35.94,72.51,29.36,0.65,44.0,63.27,66.72,33.06,68.02,39.68,24.0,,709.0
21684,F,31.09,80.61,13.66,0.03,98.0,92.83,83.58,48.5,71.33,59.0,25.0,,1054.0
21685,M,28.43,76.65,81.65,0.1,,91.04,75.48,74.7,78.42,72.43,32.0,,603.0
21686,M,18.9,78.91,57.8,1.17,16.0,80.17,40.02,8.59,75.07,15.65,24.0,,603.0
21687,F,35.94,89.86,98.85,20.71,87.0,92.09,90.61,80.24,92.67,82.44,55.0,,991.0
21688,M,25.77,80.78,28.06,38.98,75.0,67.94,69.07,51.08,79.94,53.79,51.0,,362.0
21689,F,55.22,83.97,53.1,12.86,,52.08,53.49,13.34,74.59,16.64,58.0,,644.0
21690,M,25.58,90.41,92.28,0.01,79.0,98.37,97.3,88.0,94.06,88.33,26.0,,143.0
21691,F,28.43,83.47,86.18,2.56,63.0,84.04,88.98,85.7,84.2,77.73,48.0,,143.0
21692,F,43.13,75.4,60.42,0.24,81.0,75.31,68.47,14.2,77.18,16.55,38.0,,991.0
21693,M,31.09,78.4,19.87,2.42,20.0,47.4,40.83,28.22,51.84,60.65,26.0,,603.0
21694,M,52.94,89.74,99.32,0.02,14.0,97.43,96.6,92.1,93.48,88.58,40.0,,1078.0
21695,M,34.36,94.52,91.33,0.23,62.0,97.83,91.96,81.6,92.46,84.7,75.0,,143.0
21696,F,25.77,71.65,70.66,22.38,97.0,68.33,86.34,74.54,53.37,73.77,57.0,,603.0
21697,M,28.43,75.05,24.78,0.06,31.0,76.47,58.77,9.01,87.15,7.24,26.0,,619.0
21698,F,13.71,57.98,80.08,1.75,,76.03,68.11,58.14,58.82,70.66,25.0,,639.0
21699,M,51.94,27.36,30.97,0.21,,39.59,42.04,12.5,58.06,8.93,69.0,,644.0
21700,M,51.94,81.02,97.51,23.49,74.0,95.23,92.53,79.81,84.46,84.78,51.0,,644.0
21701,F,22.85,85.55,31.51,0.01,44.0,78.05,81.37,47.2,68.53,47.06,25.0,,644.0
21702,F,25.58,88.7,65.89,45.1,,88.16,53.76,74.46,90.09,65.37,63.0,,991.0
21703,F,43.13,62.7,29.62,8.13,,43.44,37.07,33.23,57.04,45.61,32.0,,603.0
21704,M,25.77,79.81,87.07,0.09,71.0,90.76,94.36,78.3,77.85,90.17,40.0,,1055.0
21705,F,25.58,86.99,30.03,6.38,69.0,76.33,45.65,11.82,88.81,9.42,26.0,,991.0
21706,F,28.43,73.76,63.84,1.92,79.0,83.09,72.08,59.59,69.23,59.15,27.0,,143.0
21707,F,52.94,35.78,32.56,0.87,81.0,63.56,45.25,40.3,51.27,69.1,34.0,,923.0
21708,F,25.58,66.66,12.85,7.39,64.0,49.98,39.48,11.82,65.83,6.05,25.0,,893.0
21709,M,61.89,96.2,98.84,0.05,,99.0,99.63,84.78,96.93,92.02,54.0,,143.0
21710,F,56.65,52.89,35.94,0.04,,49.89,27.71,9.35,50.45,14.39,55.0,,143.0
21711,F,51.94,59.02,98.3,22.68,,40.01,80.58,78.11,53.51,86.09,60.0,,906.0
21712,F,22.85,76.86,78.6,4.13,92.0,71.3,71.27,59.08,83.6,71.91,26.0,,119.0
21713,M,17.93,85.87,55.32,0.21,79.0,86.35,89.19,74.8,67.36,65.42,25.0,,522.0
21714,F,39.65,95.42,86.02,0.03,92.0,96.03,93.83,75.87,94.16,73.17,45.0,,509.0
21715,F,25.58,66.84,71.02,5.87,72.0,73.9,66.92,58.14,65.83,69.22,25.0,,862.0
21716,F,61.89,46.21,72.44,0.06,72.0,62.28,20.79,31.28,63.24,31.09,30.0,,143.0
21717,F,41.9,50.72,96.69,3.02,,97.38,94.43,77.44,69.64,80.42,35.0,,509.0
21718,M,39.65,49.9,22.1,34.85,,41.02,42.25,11.56,51.45,11.34,67.0,,522.0
21719,M,25.77,82.49,89.73,0.06,,88.56,90.58,79.47,84.23,76.44,27.0,Uncoded,143.0
21720,F,25.9,89.45,57.38,0.19,94.0,89.81,87.99,62.81,77.63,74.41,25.0,Uncoded,923.0
21721,M,41.9,88.89,95.77,0.02,86.0,95.15,97.24,89.0,90.35,93.17,29.0,,149.0
21722,F,51.94,80.37,98.32,0.59,38.0,83.8,96.48,93.4,88.79,87.82,48.0,,143.0
21723,M,22.85,72.35,82.37,0.48,49.0,75.3,75.61,78.3,69.62,78.34,38.0,,893.0
21724,M,43.46,60.3,84.45,0.22,,71.17,79.93,72.9,50.38,87.03,45.0,,149.0
21725,F,25.77,87.74,78.43,0.18,,90.84,97.29,88.5,87.67,77.19,60.0,,509.0
21726,F,43.13,43.95,81.91,1.46,,55.34,59.69,76.4,53.72,75.32,47.0,,362.0
21727,F,28.43,69.46,32.9,0.44,,52.07,78.35,60.5,64.11,54.68,52.0,,362.0
21728,M,25.77,70.58,76.03,1.37,,83.78,87.96,62.64,77.27,74.11,24.0,,923.0
21729,F,65.48,81.48,76.55,2.1,,76.58,84.8,89.0,51.77,70.24,69.0,,923.0
21730,F,23.27,62.1,30.77,1.07,,74.83,33.3,10.8,71.25,9.82,24.0,,331.0
21731,M,22.85,69.41,28.54,13.13,75.0,95.18,47.27,9.26,80.68,16.69,37.0,,619.0
21732,F,52.94,82.05,57.61,0.02,,75.56,56.06,29.1,73.62,26.35,38.0,,619.0
21733,F,34.36,34.93,29.24,0.03,,55.25,31.53,10.8,51.75,10.14,24.0,,362.0
21734,F,35.94,92.35,98.1,11.89,,97.32,95.55,78.11,94.73,83.29,39.0,,362.0
21735,F,62.65,96.63,98.7,0.72,,97.26,96.23,78.11,95.88,83.67,39.0,,906.0
21736,M,41.04,74.56,90.78,0.03,,71.81,78.27,89.5,79.57,94.38,73.0,,906.0
21737,M,43.13,67.41,90.26,0.04,,72.0,38.61,75.2,82.94,77.37,52.0,,906.0
21738,F,70.26,85.21,98.58,0.06,,93.11,98.36,91.7,82.94,94.76,38.0,,362.0
21739,F,25.77,51.19,88.84,0.06,,69.49,44.53,61.3,54.79,73.9,25.0,,862.0
21740,F,51.94,89.4,63.98,0.34,,88.39,89.01,62.3,87.15,56.01,44.0,,906.0
21741,F,62.65,86.11,89.3,0.42,,91.18,70.26,80.0,85.54,72.93,43.0,,906.0
21742,M,62.65,68.32,98.58,0.12,,53.03,88.43,88.3,62.1,86.01,44.0,,906.0
21743,M,37.41,74.1,37.41,0.01,72.0,60.94,75.59,41.1,57.48,53.77,26.0,,906.0
21744,M,37.16,81.58,28.26,7.62,87.0,85.68,37.47,9.18,84.64,9.21,31.0,,331.0
21745,F,43.13,85.35,20.33,0.24,90.0,87.5,63.1,14.1,91.36,5.56,36.0,Caucasian,639.0
21746,F,28.43,57.52,31.06,0.02,56.0,71.22,40.18,10.4,50.22,26.21,27.0,Caucasian,639.0
21747,F,61.89,62.57,94.42,0.05,,79.74,98.03,90.5,71.88,86.44,33.0,Caucasian,803.0
21748,F,63.5,65.52,87.48,20.12,77.0,82.55,83.86,77.09,76.58,78.08,74.0,Caucasian,862.0
21749,M,29.12,69.44,82.75,30.89,,70.01,37.86,58.73,67.3,68.49,40.0,Hispanic,1102.0
21750,F,49.72,95.59,96.63,0.01,97.0,98.99,96.0,90.0,94.96,86.22,31.0,Caucasian,772.0
21751,M,49.72,90.91,10.93,0.02,81.0,59.9,48.28,9.81,78.31,13.57,39.0,Caucasian,901.0
21752,M,52.94,77.87,89.83,0.24,86.0,80.62,97.98,74.8,77.69,75.4,58.0,Caucasian,803.0
21753,F,57.0,85.56,83.34,0.09,,84.62,81.13,86.9,68.91,75.05,61.0,,803.0
21754,F,37.37,79.11,37.39,3.62,46.0,87.7,51.02,11.98,82.71,6.08,25.0,,803.0
21755,M,17.93,91.39,30.26,0.03,37.0,72.84,64.39,11.82,86.18,11.82,25.0,,1078.0
21756,F,41.04,31.76,91.79,0.1,,62.36,35.85,63.4,70.16,84.56,31.0,,1102.0
21757,M,28.43,38.71,69.99,0.11,,59.58,26.2,26.5,53.11,33.83,25.0,,803.0
21758,M,31.09,56.81,30.82,0.01,,42.8,34.2,27.45,72.5,53.74,25.0,,803.0
21759,F,23.27,74.98,29.28,6.97,,78.18,76.33,58.14,61.75,65.6,25.0,,639.0
21760,F,34.36,91.97,71.25,41.58,85.0,95.37,86.13,41.56,92.28,35.89,71.0,,1102.0
21761,F,34.36,94.35,98.56,0.02,41.0,98.87,90.63,83.16,95.82,84.14,42.0,,1078.0
21762,M,25.77,20.98,59.07,0.05,,46.91,25.39,27.45,58.09,60.18,26.0,,1078.0
21763,M,39.65,76.65,44.22,0.02,76.0,63.58,44.78,30.17,91.78,49.53,28.0,,624.0
21764,M,33.7,66.64,32.35,1.54,,51.47,29.41,32.3,73.77,51.47,35.0,,1078.0
21765,M,39.65,67.18,37.84,0.06,,32.26,28.35,10.4,74.15,16.07,40.0,,991.0
21766,F,52.94,81.99,99.56,0.05,,95.26,97.46,93.8,77.4,95.77,50.0,,511.0
21767,F,18.9,74.45,68.12,1.21,11.0,84.36,75.88,59.08,66.3,68.44,26.0,,119.0
21768,F,49.72,95.97,98.47,0.33,74.0,99.22,99.18,92.4,96.1,87.76,42.0,,720.0
21769,F,35.94,59.01,79.28,0.08,84.0,78.33,80.75,74.0,60.77,74.98,31.0,,1112.0
21770,M,57.0,95.58,98.57,0.09,54.0,98.3,99.13,93.7,91.92,88.4,48.0,,624.0
21771,F,22.85,90.27,96.42,9.83,16.0,99.05,95.22,74.29,95.47,82.63,25.0,,1078.0
21772,F,18.9,86.44,32.36,4.31,75.0,84.8,55.62,11.98,84.56,21.59,25.0,,119.0
21773,F,51.94,91.77,98.11,0.08,93.0,92.42,96.33,78.71,84.16,86.73,42.0,,720.0
21774,M,61.89,62.68,61.28,0.36,,55.74,58.51,38.42,52.59,58.36,41.0,,511.0
21775,F,61.89,74.32,87.74,2.87,,76.9,75.48,71.57,50.67,77.32,54.0,,511.0
21776,M,52.94,96.69,99.33,0.03,,99.22,99.22,95.0,96.12,94.6,60.0,,720.0
21777,F,43.13,94.45,83.0,0.13,80.0,96.14,95.3,59.9,94.21,61.4,40.0,,1078.0
21778,F,25.77,80.51,22.36,1.05,28.0,85.43,77.77,33.23,82.65,52.37,25.0,,1112.0
21779,M,28.43,62.43,19.21,0.08,94.0,55.92,61.18,33.23,58.43,50.37,32.0,,119.0
21780,F,28.43,84.85,13.27,0.05,31.0,76.56,87.2,50.9,73.57,54.03,28.0,,143.0
21781,M,28.43,59.45,79.43,3.3,76.0,70.22,51.81,57.38,57.6,72.11,30.0,,1112.0
21782,F,39.65,88.24,3.49,0.04,,46.93,68.78,14.1,91.03,0.77,36.0,,720.0
21783,F,28.43,69.22,40.95,12.84,58.0,61.93,50.31,36.46,65.34,50.24,28.0,,991.0
21784,F,28.43,96.83,82.89,0.12,12.0,97.47,98.14,73.9,93.49,71.69,24.0,,720.0
21785,F,65.48,94.23,98.19,1.11,99.0,98.0,97.99,93.9,92.95,86.7,51.0,,772.0
21786,M,28.43,44.63,33.15,0.04,,54.29,39.1,10.8,51.09,15.93,25.0,,522.0
21787,M,33.7,91.31,92.09,0.16,86.0,96.95,96.1,74.8,92.47,75.54,25.0,,899.0
21788,F,61.89,72.66,29.45,0.05,83.0,64.22,60.79,12.66,59.09,24.83,46.0,,709.0
21789,F,26.91,94.91,88.66,0.05,44.0,96.64,95.8,68.7,95.15,70.63,25.0,,709.0
21790,F,52.94,83.75,84.55,0.33,,90.54,94.89,82.1,83.44,74.67,39.0,,899.0
21791,M,33.7,84.63,72.39,0.06,,94.93,75.41,68.4,80.07,64.98,25.0,,772.0
21792,F,58.47,42.65,40.04,0.06,,62.75,42.17,10.8,71.54,12.81,31.0,,772.0
21793,F,13.71,59.53,28.75,0.08,65.0,43.21,32.01,11.2,56.43,7.5,43.0,,1054.0
21794,M,28.43,76.73,28.51,10.02,68.0,35.77,38.52,43.77,78.66,59.33,50.0,,603.0
21795,M,33.7,24.51,76.06,0.12,,44.9,32.94,30.5,51.14,60.09,26.0,,709.0
21796,M,52.94,67.7,28.18,0.18,46.0,59.68,51.96,42.16,72.57,48.82,48.0,,709.0
21797,M,28.43,59.88,32.93,1.65,57.0,58.3,44.34,9.18,50.08,14.83,24.0,Uncoded,709.0
21798,F,61.89,62.4,62.02,0.27,,62.79,51.36,10.8,58.18,20.58,38.0,,709.0
21799,F,33.7,91.13,98.38,0.07,,88.75,95.45,92.1,90.49,86.72,40.0,,603.0
21800,M,25.77,66.03,80.08,8.26,83.0,78.12,52.54,61.2,53.82,71.98,38.0,,149.0
21801,M,61.89,70.47,5.15,32.29,64.0,73.56,43.66,9.95,80.27,14.9,55.0,,1056.0
21802,M,33.7,96.01,98.79,0.13,44.0,98.37,99.1,75.05,95.06,85.29,27.0,,1054.0
21803,F,34.36,91.69,67.3,40.2,,86.29,76.75,73.87,94.04,65.5,54.0,,603.0
21804,F,52.94,66.1,43.63,0.06,58.0,53.16,63.32,43.01,52.26,55.12,37.0,,149.0
21805,M,29.12,63.56,79.8,0.02,66.0,82.84,59.94,52.11,54.17,67.76,25.0,,644.0
21806,F,52.94,66.29,81.94,11.2,,62.16,59.31,32.47,59.37,44.89,57.0,,644.0
21807,M,13.71,35.19,23.27,6.32,11.0,48.44,48.67,17.26,55.28,78.67,26.0,,603.0
21808,F,25.58,86.57,83.63,0.03,56.0,90.98,89.15,73.9,61.89,66.33,25.0,,991.0
21809,F,63.5,82.47,73.97,0.07,80.0,77.5,51.98,9.18,82.69,17.15,36.0,,893.0
21810,F,39.65,79.18,87.13,0.01,,75.83,95.68,89.1,67.01,96.09,61.0,,893.0
21811,M,33.7,79.3,17.15,0.01,76.0,71.05,63.62,9.09,72.84,27.07,29.0,,1055.0
21812,M,49.92,54.38,26.97,0.03,59.0,46.77,42.05,44.96,53.92,57.79,58.0,,644.0
21813,F,35.94,23.63,36.49,0.43,,60.8,40.27,46.6,69.9,65.08,42.0,,603.0
21814,F,35.94,90.55,77.57,0.11,61.0,90.46,93.75,86.9,83.81,82.74,54.0,Uncoded,143.0
21815,F,34.36,63.02,35.29,38.72,78.0,38.54,45.97,10.03,51.36,13.94,49.0,,991.0
21816,M,49.92,92.52,99.66,0.06,,98.44,98.72,95.4,95.41,97.91,62.0,,893.0
21817,F,62.65,87.75,98.38,0.03,96.0,95.39,92.07,89.4,89.76,84.25,30.0,,644.0
21818,F,49.72,96.55,74.75,0.24,75.0,81.09,90.51,71.65,94.94,74.29,45.0,,893.0
